"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"fin1.t.d.3","Access","Financial institution account , young (% ages 15-24)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, young (% ages 15-24)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, young (% ages 15-24)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin1.t.d.4","Access","Financial institution account , older (% age 25+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, older (% age 25+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, older (% age 25+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin1.t.d.5","Access","Financial institution account , primary education or less (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, primary education or less (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, primary education or less (% ages 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin1.t.d.6","Access","Financial institution account , secondary education or more (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, secondary education or more (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, secondary education or more (% ages 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin1.t.d.7","Access","Financial institution account , income, poorest 40% (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, poorest 40% (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, poorest 40% (% ages 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin1.t.d.8","Access","Financial institution account , income, richest 60% (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, richest 60% (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, richest 60% (% ages 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin1.t.d.9","Access","Financial institution account , rural (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, rural (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, rural (% age 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin10.1a","Access","Reason for not using their inactive account: bank or financial institution is too far away (% age 15+)","The percentage of respondents who report having an inactive account because the bank or financial institution is too far away.","The percentage of respondents who report having an inactive account because the bank or financial institution is too far away.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin10.1a.s","Access","Reason for not using their inactive account: bank or financial institution is too far away (% with an inactive account, age 15+)","Among respondents who report having an inactive account, the percentage who report that they don't use their account because the bank or financial institution is too far away.","Among respondents who report having an inactive account, the percentage who report that they don't use their account because the bank or financial institution is too far away.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin10.1b","Access","Reason for not using their inactive account: no need for an account (% age 15+)","The percentage of respondents who report having an inactive account because they have no need for an account.","The percentage of respondents who report having an inactive account because they have no need for an account.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin10.1b.s","Access","Reason for not using their inactive account: no need for an account (% with an inactive account, age 15+)","Among respondents who report having an inactive account, the percentage who don't use the account because they have no need for one.","Among respondents who report having an inactive account, the percentage who don't use the account because they have no need for one.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin10.1c","Access","Reason for not using their inactive account: don't have enough money to use an account (% age 15+)","The percentage of respondents who report having an inactive account because they don't have enough money to use the account.","The percentage of respondents who report having an inactive account because they don't have enough money to use the account.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin10.1c.s","Access","Reason for not using their inactive account: don't have enough money to use an account (% with an inactive account, age 15+)","Among respondents who report having an inactive account, the percentage who report that they don't have enough money to use the account.","Among respondents who report having an inactive account, the percentage who report that they don't have enough money to use the account.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin10.1d","Access","Reason for not using their inactive account: don't feel comfortable using the account by themselves (% age 15+)","The percentage of respondents who report having an inactive account because they don't feel comfortable using the account by themselves.","The percentage of respondents who report having an inactive account because they don't feel comfortable using the account by themselves.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin10.1d.s","Access","Reason for not using their inactive account: don't feel comfortable using an account by themselves (% with an inactive account, age 15+)","Among respondents who report having an inactive account, the percentage who report that they don't feel comfortable using the account by themselves.","Among respondents who report having an inactive account, the percentage who report that they don't feel comfortable using the account by themselves.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin10.1e","Access","Reason for not using their inactive account: don't trust banks or financial institutions (% age 15+)","The percentage of respondents who report having an inactive account because they don't trust banks or financial institutions.","The percentage of respondents who report having an inactive account because they don't trust banks or financial institutions.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin10.1e.s","Access","Reason for not using their inactive account: don't trust banks or financial institutions (% with an inactive account, age 15+)","Among respondents who report having an inactive account, the percentage who don't use the account because they don't trust banks or financial institutions.","Among respondents who report having an inactive account, the percentage who don't use the account because they don't trust banks or financial institutions.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin10.t.s","Usage","Made a withdrawal (% with a financial institution account, age 15+)","Among respondents with a financial institution account, the percentage who report withdrawing money from their account one or more times in the past year.","Among respondents with a financial institution account, the percentage who report withdrawing money from their account one or more times in the past year.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin10a","Usage","Withdrew money from a financial institution account 2 or more times a month (% age 15+)","The percentage of respondents who report withdrawing money from their account two or more times per month.","The percentage of respondents who report withdrawing money from their account two or more times per month.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin10a.s","Usage","Withdrew money from a financial institution account 2 or more times a month (% who had withdrawn money, age 15+)","Among respondents who withdrew money, the percentage who report doing so two or more times per month.","Among respondents who withdrew money, the percentage who report doing so two or more times per month.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin10b","Usage","Store money using a financial institution (% age 15+)","The percentage of respondents who report keeping money in a financial institution account.","The percentage of respondents who report keeping money in a financial institution account.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin10b.13b","Usage","Store money using a financial institution or a mobile money account (% age 15+)","The percentage of respondents who report keeping money in a financial institution account or a mobile money account.","The percentage of respondents who report keeping money in a financial institution account or a mobile money account.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin10b.13b.s","Usage","Store money using a financial institution or a mobile money account (% with an account,  age 15+)","Among respondents with an account, the percentage who report keeping money in a financial institution account or a mobile money account.","Among respondents with an account, the percentage who report keeping money in a financial institution account or a mobile money account.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin10b.s","Usage","Store money using a financial institution (% with a financial institution account, age 15+)","Among respondents with a financial institution account, the percentage who report keeping money in a financial institution account.","Among respondents with a financial institution account, the percentage who report keeping money in a financial institution account.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin11.1","Usage","Can use account at a bank or financial institution without help if opened (% without an account, age 15+)","Among the share of respondents without an account, the percentage of respondents who report they can use an account at a bank or a financial institution without help, if opened.","Among the share of respondents without an account, the percentage of respondents who report they can use an account at a bank or a financial institution without help, if opened.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin11a","Access","No account because financial institutions are too far away (% age 15+)","The percentage of respondents who report that they don't have a financial institution account because financial institutions are too far away.","The percentage of respondents who report that they don't have a financial institution account because financial institutions are too far away.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin11a.s","Access","No account because financial institutions are too far away (% without an account, age 15+)","Among respondents who report having no account, the percentage who report that they don't have a financial institution account because financial institutions are too far away.","Among respondents who report having no account, the percentage who report that they don't have a financial institution account because financial institutions are too far away.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin11b","Access","No account because financial services are too expensive (% age 15+)","The percentage of respondents who report not having a financial institution account because financial services are too expensive.","The percentage of respondents who report not having a financial institution account because financial services are too expensive.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin11b.s","Access","No account because financial services are too expensive (% without an account, age 15+)","Among respondents who report having no account, the percentage who report not having a financial institution account because financial services are too expensive.","Among respondents who report having no account, the percentage who report not having a financial institution account because financial services are too expensive.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin11c","Access","No account because of a lack of necessary documentation (% age 15+)","The percentage of respondents who report not having a financial institution account because they lack the documentation needed to open one, such as an identity card, a wage slip, or the like.","The percentage of respondents who report not having a financial institution account because they lack the documentation needed to open one, such as an identity card, a wage slip, or the like.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin11c.s","Access","No account because of a lack of necessary documentation (% without an account, age 15+)","Among respondents who report having no account, the percentage who report not having a financial institution account because they lack the documentation needed to open one, such as an identity card, a wage slip, or the like.","Among respondents who report having no account, the percentage who report not having a financial institution account because they lack the documentation needed to open one, such as an identity card, a wage slip, or the like.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin11d","Access","No account because of a lack of trust in financial institutions (% age 15+)","The percentage of respondents who report not having a financial institution account because they do not trust financial institutions.","The percentage of respondents who report not having a financial institution account because they do not trust financial institutions.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin11d.s","Access","No account because of a lack of trust in financial institutions (% without an account, age 15+)","Among respondents who report having no account, the percentage who report not having a financial institution account because they do not trust financial institutions.","Among respondents who report having no account, the percentage who report not having a financial institution account because they do not trust financial institutions.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin11e","Access","No account because of religious reasons (% age 15+)","The percentage of respondents who report not having a financial institution account for religious reasons.","The percentage of respondents who report not having a financial institution account for religious reasons.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin11e.s","Access","No account because of religious reasons (% without an account, age 15+)","Among respondents who report having no account, the percentage who report not having a financial institution account for religious reasons.","Among respondents who report having no account, the percentage who report not having a financial institution account for religious reasons.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin11f","Access","No account because of insufficient funds (% age 15+)","The percentage of respondents who report not having a financial institution account because they do not have enough money to use one.","The percentage of respondents who report not having a financial institution account because they do not have enough money to use one.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin11f.s","Access","No account because of insufficient funds (% without an account, age 15+)","Among respondents who report having no account, the percentage who report not having a financial institution account because they do not have enough money to use one.","Among respondents who report having no account, the percentage who report not having a financial institution account because they do not have enough money to use one.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin11g","Access","No account because someone in the family has one (% age 15+)","The percentage of respondents who report not having a financial institution account because someone else in their family already has one.","The percentage of respondents who report not having a financial institution account because someone else in their family already has one.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin11g.s","Access","No account because someone in the family has one (% without an account, age 15+)","Among respondents reporting having no account, the percentage who report not having a financial institution account because someone else in their family already has one.","Among respondents reporting having no account, the percentage who report not having a financial institution account because someone else in their family already has one.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin13.1a","Access","Reason for not having a mobile money account: mobile money agents are too far away (% age 15+)","The percentage of respondents who report not having a mobile money account because mobile money agents are too far away.","The percentage of respondents who report not having a mobile money account because mobile money agents are too far away.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin13.1a.s","Access","Reason for not having a mobile money account: mobile money agents are too far away (% without an account, age 15+)","Among respondents who report having no account, the percentage who report not having a mobile money account because mobile money agents are too far away.","Among respondents who report having no account, the percentage who report not having a mobile money account because mobile money agents are too far away.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
