"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"fin1.t.a.10","Time series variables","Financial institution account, in labor force(% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution,in labor force (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution,in labor force (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin1.t.a.11","Time series variables","Financial institution account, out of labor force (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution,out of labor force (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution,out of labor force (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin1.t.a.2","Time series variables","Financial institution account,female(% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution,female (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution,female (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin1.t.a.3","Time series variables","Financial institution account,young adults(% age 15-24)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, young adults (% age 15-24).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, young adults (% age 15-24).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin1.t.a.4","Time series variables","Financial institution account, older adults(% age 25+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, older adults (% age 25+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, older adults (% age 25+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin1.t.a.5","Time series variables","Financial institution account, primary education or less(% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution,primary education or less (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution,primary education or less (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin1.t.a.6","Time series variables","Financial institution account, seconday education or more(% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, secondary education or more (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, secondary education or more (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin1.t.a.7","Time series variables","Financial institution account,income,poorest 40% (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, income, poorest 40% (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, income, poorest 40% (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin1.t.a.8","Time series variables","Financial institution account,income,richest 60% (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, income, richest 60% (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, income, richest 60% (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin1.t.a.9","Time series variables","Financial institution account, rural(% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, rural (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, rural (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin10.t.a.s","Time series variables","Withdrawal in the past year (% with a financial institution account, age 15+)","Among respondents with a financial institution account, the percentage who report one or more withdrawals from their account in the past 12 months. This includes cash or electronic withdrawals or any time money is removed from the account by the respondent, an employer, or another person or institution.","Among respondents with a financial institution account, the percentage who report one or more withdrawals from their account in the past 12 months. This includes cash or electronic withdrawals or any time money is removed from the account by the respondent, an employer, or another person or institution.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin11a.a","2017 variables","No account because financial institutions are too far away (% age 15+)","The percentage of respondents who report not having a financial institution account because financial institutions are too far away.","The percentage of respondents who report not having a financial institution account because financial institutions are too far away.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin11a.a.s","2017 variables","No account because financial institutions are too far away (% without a financial institution account, age 15+)","Among respondents without a financial institution account, the percentage who report as a reason for not having one that financial institutions are too far away.","Among respondents without a financial institution account, the percentage who report as a reason for not having one that financial institutions are too far away.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin11b.a","2017 variables","No account because financial services are too expensive (% age 15+)","The percentage of respondents who report not having a financial institution account because financial services are too expensive.","The percentage of respondents who report not having a financial institution account because financial services are too expensive.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin11b.a.s","2017 variables","No account because financial services are too expensive (% without a financial institution account, age 15+)","Among respondents without a financial institution account, the percentage who report as a reason for not having one that financial services are too expensive.","Among respondents without a financial institution account, the percentage who report as a reason for not having one that financial services are too expensive.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin11c.a","2017 variables","No account because of lack of necessary documentation (% age 15+)","The percentage of respondents who report not having a financial institution account because they lack the documentation needed to open one, such as an identity card, a wage slip, or the like.","The percentage of respondents who report not having a financial institution account because they lack the documentation needed to open one, such as an identity card, a wage slip, or the like.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin11c.a.s","2017 variables","No account because of lack of necessary documentation (% without a financial institution account, age 15+)","Among respondents without a financial institution account, the percentage who report as a reason for not having one that they lack the documentation needed to open one, such as an identity card, a wage slip, or the like.","Among respondents without a financial institution account, the percentage who report as a reason for not having one that they lack the documentation needed to open one, such as an identity card, a wage slip, or the like.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin11d.a","2017 variables","No account because of lack of trust in financial institutions (% age 15+)","The percentage of respondents who report not having a financial institution account because they do not trust financial institutions.","The percentage of respondents who report not having a financial institution account because they do not trust financial institutions.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin11d.a.s","2017 variables","No account because of lack of trust in financial institutions (% without a financial institution account, age 15+)","Among respondents without a financial institution account, the percentage who report as a reason for not having one that they do not trust financial institutions.","Among respondents without a financial institution account, the percentage who report as a reason for not having one that they do not trust financial institutions.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin11e.a","2017 variables","No account because of religious reasons (% age 15+)","The percentage of respondents who report not having a financial institution account for religious reasons.","The percentage of respondents who report not having a financial institution account for religious reasons.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin11e.a.s","2017 variables","No account because of religious reasons (% without a financial institution account, age 15+)","Among respondents without a financial institution account, the percentage who report not having one for religious reasons.","Among respondents without a financial institution account, the percentage who report not having one for religious reasons.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin11f.a","2017 variables","No account because of insufficient funds (% age 15+)","The percentage of respondents who report not having a financial institution account because they do not have enough money to use one.","The percentage of respondents who report not having a financial institution account because they do not have enough money to use one.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin11f.a.s","2017 variables","No account because of insufficient funds (% without a financial institution account, age 15+)","Among respondents without a financial institution account, the percentage who report as a reason for not having one that they do not have enough money to use one.","Among respondents without a financial institution account, the percentage who report as a reason for not having one that they do not have enough money to use one.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin11g.a","2017 variables","No account because someone in the family has an account (% age 15+)","The percentage of respondents who report not having a financial institution account because someone else in their family already has an account.","The percentage of respondents who report not having a financial institution account because someone else in their family already has an account.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin11g.a.s","2017 variables","No account because someone in the family has an account (% without a financial institution account, age 15+)","Among respondents without a financial institution account, the percentage who report as a reason for not having one that someone else in their family already has an account.","Among respondents without a financial institution account, the percentage who report as a reason for not having one that someone else in their family already has an account.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin11h.a","2017 variables","No account because of no need for financial services ONLY (% age 15+)","The percentage of respondents who report not having a financial institution account only because they have no need for formal financial services.","The percentage of respondents who report not having a financial institution account only because they have no need for formal financial services.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin11h.a.s","2017 variables","No account because of no need for financial services ONLY (% without a financial institution account, age 15+)","Among respondents without a financial institution account, the percentage who report as the only reason for not having one that they have no need for formal financial services.","Among respondents without a financial institution account, the percentage who report as the only reason for not having one that they have no need for formal financial services.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin13a.t.14.a.s","Time series variables","Main mode of withdrawal: ATM (% with a financial institution account, age 15+)","Among respondents with a financial institution account, the percentage who report usually obtaining cash from their account at an automated teller machine (ATM).","Among respondents with a financial institution account, the percentage who report usually obtaining cash from their account at an automated teller machine (ATM).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin13b.t.14.a.s","Time series variables","Main mode of withdrawal: bank teller (% with a financial institution account, age 15+)","Among respondents with a financial institution account, the percentage who report usually obtaining cash from their account over the counter in a branch of their financial institution.","Among respondents with a financial institution account, the percentage who report usually obtaining cash from their account over the counter in a branch of their financial institution.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14a.a","2017 variables","Used the internet to pay bills in the past year (% age 15+)","The percentage of respondents who report using the internet to pay bills in the past 12 months.","The percentage of respondents who report using the internet to pay bills in the past 12 months.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14a.a.1","2017 variables","Used the internet to pay bills in the past year, male (% age 15+)","The percentage of respondents who report using the internet to pay bills in the past 12 months, male (% age 15+).","The percentage of respondents who report using the internet to pay bills in the past 12 months, male (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14a.a.10","2017 variables","Used the internet to pay bills in the past year, in labor force  (% age 15+)","The percentage of respondents who report using the internet to pay bills in the past 12 months, in labor force (% age 15+).","The percentage of respondents who report using the internet to pay bills in the past 12 months, in labor force (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14a.a.11","2017 variables","Used the internet to pay bills in the past year, out of labor force (% age 15+)","The percentage of respondents who report using the internet to pay bills in the past 12 months, out of labor force (% age 15+).","The percentage of respondents who report using the internet to pay bills in the past 12 months, out of labor force (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14a.a.2","2017 variables","Used the internet to pay bills in the past year , female(% age 15+)","The percentage of respondents who report using the internet to pay bills in the past 12 months, female (% age 15+).","The percentage of respondents who report using the internet to pay bills in the past 12 months, female (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14a.a.3","2017 variables","Used the internet to pay bills in the past year , young adults (% age 15-24)","The percentage of respondents who report using the internet to pay bills in the past 12 months, young adults (% age 15-24).","The percentage of respondents who report using the internet to pay bills in the past 12 months, young adults (% age 15-24).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14a.a.4","2017 variables","Used the internet to pay bills in the past year , older adults (% age 25+)","The percentage of respondents who report using the internet to pay bills in the past 12 months, older adults (% age 25+).","The percentage of respondents who report using the internet to pay bills in the past 12 months, older adults (% age 25+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14a.a.5","2017 variables","Used the internet to pay bills in the past year, primary education or less (% age 15+)","The percentage of respondents who report using the internet to pay bills in the past 12 months, primary education or less (% age 15+).","The percentage of respondents who report using the internet to pay bills in the past 12 months, primary education or less (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14a.a.6","2017 variables","Used the internet to pay bills in the past year , secondary education or more (% age 15+)","The percentage of respondents who report using the internet to pay bills in the past 12 months, secondary education or more age 15+).","The percentage of respondents who report using the internet to pay bills in the past 12 months, secondary education or more age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14a.a.7","2017 variables","Used the internet to pay bills in the past year, income, poorest 40%(% age 15+)","The percentage of respondents who report using the internet to pay bills in the past 12 months, income, poorest 40% (age 15+).","The percentage of respondents who report using the internet to pay bills in the past 12 months, income, poorest 40% (age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14a.a.8","2017 variables","Used the internet to pay bills in the past year , income, richest 60%(% age 15+)","The percentage of respondents who report using the internet to pay bills in the past 12 months, income, richest (% age 15+).","The percentage of respondents who report using the internet to pay bills in the past 12 months, income, richest (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14a.a.9","2017 variables","Used the internet to pay bills in the past year , rural (% age 15+)","The percentage of respondents who report using the internet to pay bills in the past 12 months, rural (% age 15+).","The percentage of respondents who report using the internet to pay bills in the past 12 months, rural (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14abca.t.d","Time series variables","Used the internet to pay bills or to buy something online in the past year (% age 15+)","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months.","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14abca.t.d.1","Time series variables","Used the internet to pay bills or to buy something online in the past year, male (% age 15+)","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, male (% age 15+).","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, male (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14abca.t.d.10","Time series variables","Used the internet to pay bills or to buy something online in the past year, in labor force (% age 15+)","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, in labor force (% age 15+).","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, in labor force (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14abca.t.d.11","Time series variables","Used the internet to pay bills or to buy something online in the past year, out of labor force (% age 15+)","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, out of labor force (% age 15+).","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, out of labor force (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14abca.t.d.2","Time series variables","Used the internet to pay bills or to buy something online in the past year, female (% age 15+)","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, female (% age 15+).","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, female (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14abca.t.d.3","Time series variables","Used the internet to pay bills or to buy something online in the past year, young adults (% age 15-24)","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, young adults (% age 15-24).","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, young adults (% age 15-24).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14abca.t.d.4","Time series variables","Used the internet to pay bills or to buy something online in the past year, older adults (% age 25+)","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, older adults (% age 25+).","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, older adults (% age 25+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14abca.t.d.5","Time series variables","Used the internet to pay bills or to buy something online in the past year, primary education or less (% age 15+)","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, primary education or less (% age 15+).","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, primary education or less (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14abca.t.d.6","Time series variables","Used the internet to pay bills or to buy something online in the past year, secondary education or less (% age 15+)","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months,secondary education or more (% age 25+).","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months,secondary education or more (% age 25+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14abca.t.d.7","Time series variables","Used the internet to pay bills or to buy something online in the past year, income, poorest 40% (% age 15+)","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, income, poorest 40% (% age 15+).","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, income, poorest 40% (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14abca.t.d.8","Time series variables","Used the internet to pay bills or to buy something online in the past year, income, richest 60% (% age 15+)","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, income, richest 60% (% age 15+).","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, income, richest 60% (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14abca.t.d.9","Time series variables","Used the internet to pay bills or to buy something online in the past year, rural (% age 15+)","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, rural (% age 15+).","The percentage of respondents who report using the internet to pay bills or buy something online in the past 12 months, rural (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14b.a","2017 variables","Used the internet to buy something online in the past year(% age 15+)","The percentage of respondents who report using the internet to buy something online in the past 12 months.","The percentage of respondents who report using the internet to buy something online in the past 12 months.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14b.a.1","2017 variables","Used the internet to buy something online in the past year, male(% age 15+)","The percentage of respondents who report using the internet to buy something online in the past 12 months, male (% age 15+).","The percentage of respondents who report using the internet to buy something online in the past 12 months, male (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14b.a.10","2017 variables","Used the internet to buy something online in the past year, in labor force (% age 15+)","The percentage of respondents who report using the internet to buy something online in the past 12 months, in labor force (% age 15+).","The percentage of respondents who report using the internet to buy something online in the past 12 months, in labor force (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14b.a.11","2017 variables","Used the internet to buy something online in the past year, out of labor force (% age 15+)","The percentage of respondents who report using the internet to buy something online in the past 12 months, out of labor force (% age 15+).","The percentage of respondents who report using the internet to buy something online in the past 12 months, out of labor force (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14b.a.2","2017 variables","Used the internet to buy something online in the past year, female(% age 15+)","The percentage of respondents who report using the internet to buy something online in the past 12 months, female (% age 15+).","The percentage of respondents who report using the internet to buy something online in the past 12 months, female (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14b.a.3","2017 variables","Used the internet to buy something online in the past year, young adults (% age 15-24)","The percentage of respondents who report using the internet to buy something online in the past 12 months, young adults (% age 15-24).","The percentage of respondents who report using the internet to buy something online in the past 12 months, young adults (% age 15-24).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14b.a.4","2017 variables","Used the internet to buy something online in the past year, older adults (% age 25+)","The percentage of respondents who report using the internet to buy something online in the past 12 months, older adults (% age 25+).","The percentage of respondents who report using the internet to buy something online in the past 12 months, older adults (% age 25+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14b.a.5","2017 variables","Used the internet to buy something online in the past year, primary education or less (% age 15+)","The percentage of respondents who report using the internet to buy something online in the past 12 months,primary education or less (% age 15+).","The percentage of respondents who report using the internet to buy something online in the past 12 months,primary education or less (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14b.a.6","2017 variables","Used the internet to buy something online in the past year, secondary education or more (% age 15+)","The percentage of respondents who report using the internet to buy something online in the past 12 months, secondary education or more (% age 15+).","The percentage of respondents who report using the internet to buy something online in the past 12 months, secondary education or more (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin14b.a.7","2017 variables","Used the internet to buy something online in the past year, income, poorest 40% (% age 15+)","The percentage of respondents who report using the internet to buy something online in the past 12 months, income, poorest 40% (% age 15+).","The percentage of respondents who report using the internet to buy something online in the past 12 months, income, poorest 40% (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
